"year","oblast","rayon","Voted","dem","prorus","region","sum"
2006,"АР Крим, Севастополь","місто Сімферополь",177907,0.122698938209289,0.760026305878914,"Південний-Схід",0.882725244088203
2006,"АР Крим, Севастополь","Сімферопольський район",74183,0.19283393769462,0.691843144655784,"Південний-Схід",0.884677082350404
2006,"АР Крим, Севастополь","Бахчисарайський район",49144,0.229407455640566,0.671434966628683,"Південний-Схід",0.900842422269249
2006,"АР Крим, Севастополь","місто Джанкой",24188,0.103150322473954,0.781089796593352,"Південний-Схід",0.884240119067306
2006,"АР Крим, Севастополь","Джанкойський район",38984,0.180817771393392,0.707674943566591,"Південний-Схід",0.888492714959984
2006,"АР Крим, Севастополь","місто Красноперекопськ",16257,0.118902626560866,0.768653503106354,"Південний-Схід",0.88755612966722
2006,"АР Крим, Севастополь","Красноперекопський район",13717,0.200043741342859,0.670336079317635,"Південний-Схід",0.870379820660494
2006,"АР Крим, Севастополь","місто Армянськ",13782,0.0846756639094471,0.794224350602235,"Південний-Схід",0.878900014511682
2006,"АР Крим, Севастополь","місто Євпаторія",57712,0.110011782644857,0.787496534516218,"Південний-Схід",0.897508317161076
2006,"АР Крим, Севастополь","місто Саки",14905,0.0944649446494465,0.808252264340825,"Південний-Схід",0.902717208990272
2006,"АР Крим, Севастополь","Сакський район",41835,0.168806023664396,0.718919564957571,"Південний-Схід",0.887725588621967
2006,"АР Крим, Севастополь","Чорноморський район",16681,0.164078892152749,0.706372519633116,"Південний-Схід",0.870451411785864
2006,"АР Крим, Севастополь","Кіровський район",30671,0.231717257344071,0.659352482801343,"Південний-Схід",0.891069740145414
2006,"АР Крим, Севастополь","місто Керч",78535,0.0639842108613994,0.869599541605653,"Південний-Схід",0.933583752467053
2006,"АР Крим, Севастополь","Ленінський район",32956,0.149623740745236,0.723267386818789,"Південний-Схід",0.872891127564025
2006,"АР Крим, Севастополь","місто Феодосія",53745,0.0837845380965671,0.816317797004372,"Південний-Схід",0.90010233510094
2006,"АР Крим, Севастополь","місто Судак",16912,0.198734626300851,0.660832544938505,"Південний-Схід",0.859567171239357
2006,"АР Крим, Севастополь","Совєтський район",18309,0.217051723196242,0.649243541427713,"Південний-Схід",0.866295264623955
2006,"АР Крим, Севастополь","Роздольненський район",18372,0.205856738515132,0.678586980187241,"Південний-Схід",0.884443718702373
2006,"АР Крим, Севастополь","місто Алушта",29186,0.113444802302474,0.756766943054889,"Південний-Схід",0.870211745357363
2006,"АР Крим, Севастополь","місто Ялта",66759,0.104390419269312,0.76545484503962,"Південний-Схід",0.869845264308932
2006,"АР Крим, Севастополь","Білогірський район",33667,0.255443015415689,0.616092909971188,"Південний-Схід",0.871535925386877
2006,"АР Крим, Севастополь","Красногвардійський район",45369,0.179946659613392,0.721946703696357,"Південний-Схід",0.901893363309749
2006,"АР Крим, Севастополь","Нижньогірський район",26304,0.160926094890511,0.728976581508516,"Південний-Схід",0.889902676399027
2006,"АР Крим, Севастополь","Первомайський район",18677,0.237725544787707,0.647641484178401,"Південний-Схід",0.885367028966108
2006,"Вінницька область","місто Вінниця",187854,0.608855813557337,0.293626965622239,"Серединний пояс",0.902482779179576
2006,"Вінницька область","місто Жмеринка",20377,0.39873386661432,0.341512489571576,"Серединний пояс",0.740246356185896
2006,"Вінницька область","Вінницький район",45039,0.638357867625835,0.257532360842825,"Серединний пояс",0.895890228468661
2006,"Вінницька область","Жмеринський район",22747,0.48432760364004,0.348529476414472,"Серединний пояс",0.832857080054513
2006,"Вінницька область","місто Козятин",15434,0.559997408319295,0.237916288713231,"Серединний пояс",0.797913697032526
2006,"Вінницька область","Козятинський район",27371,0.60195097000475,0.274633736436374,"Серединний пояс",0.876584706441124
2006,"Вінницька область","Калинівський район",36696,0.610693263570961,0.278395465445825,"Серединний пояс",0.889088729016787
2006,"Вінницька область","місто Хмільник",13341,0.624615845888614,0.286710141668541,"Серединний пояс",0.911325987557155
2006,"Вінницька область","Хмільницький район",24811,0.584700334529039,0.323001894321067,"Серединний пояс",0.907702228850107
2006,"Вінницька область","Літинський район",25246,0.579141250099026,0.313118909926325,"Серединний пояс",0.89226016002535
2006,"Вінницька область","місто Бар",9970,0.671213640922768,0.224774322968907,"Серединний пояс",0.895987963891675
2006,"Вінницька область","Барський район",24449,0.541780849932513,0.339073172726901,"Серединний пояс",0.880854022659413
2006,"Вінницька область","Мурованокуриловецький район",17790,0.468015739179314,0.407644744238336,"Серединний пояс",0.87566048341765
2006,"Вінницька область","Шаргородський район",33925,0.570582166543847,0.316728076639646,"Серединний пояс",0.887310243183493
2006,"Вінницька область","місто Могилів-Подільський",15162,0.46543991557842,0.403640680648991,"Серединний пояс",0.869080596227411
2006,"Вінницька область","Могилів-Подільський район",21359,0.508076220796854,0.362189241069338,"Серединний пояс",0.870265461866192
2006,"Вінницька область","Чернівецький район",14257,0.470645998456898,0.410324752753034,"Серединний пояс",0.880970751209932
2006,"Вінницька область","Ямпільський район",22398,0.443387802482365,0.409679435663899,"Серединний пояс",0.853067238146263
2006,"Вінницька область","Крижопільський район",21036,0.591747480509603,0.312416809279331,"Серединний пояс",0.904164289788933
2006,"Вінницька область","Піщанський район",14001,0.434754660381401,0.417898721519891,"Серединний пояс",0.852653381901293
2006,"Вінницька область","Томашпільський район",21850,0.607505720823799,0.266407322654462,"Серединний пояс",0.873913043478261
2006,"Вінницька область","Чечельницький район",13881,0.51826237302788,0.373604207189684,"Серединний пояс",0.891866580217563
2006,"Вінницька область","Бершадський район",38485,0.536858516305054,0.348889177601663,"Серединний пояс",0.885747693906717
2006,"Вінницька область","Тростянецький район",24216,0.562314172447968,0.33011232243145,"Серединний пояс",0.892426494879419
2006,"Вінницька область","місто Ладижин",11812,0.591601760921097,0.254994920419912,"Серединний пояс",0.846596681341009
2006,"Вінницька область","Тульчинський район",33809,0.502262711112426,0.379455174657636,"Серединний пояс",0.881717885770061
2006,"Вінницька область","Гайсинський район",35578,0.537972904603969,0.34630951711732,"Серединний пояс",0.884282421721289
2006,"Вінницька область","Іллінецький район",25050,0.530339321357285,0.353892215568862,"Серединний пояс",0.884231536926148
2006,"Вінницька область","Теплицький район",19890,0.516691804927099,0.354449472096531,"Серединний пояс",0.87114127702363
2006,"Вінницька область","Немирівський район",33755,0.590697674418605,0.291423492815879,"Серединний пояс",0.882121167234484
2006,"Вінницька область","Тиврівський район",26926,0.634591101537547,0.268068038327267,"Серединний пояс",0.902659139864815
2006,"Вінницька область","Липовецький район",25253,0.595176810675959,0.31136894626381,"Серединний пояс",0.906545756939769
2006,"Вінницька область","Погребищенський район",20724,0.518674001158077,0.352972399150743,"Серединний пояс",0.871646400308821
2006,"Вінницька область","Оратівський район",15955,0.538890629896584,0.363835788154184,"Серединний пояс",0.902726418050768
2006,"Волинська область","місто Володимир-Волинський",20485,0.701244813278008,0.201806199658287,"Волинь",0.903051012936295
2006,"Волинська область","місто Нововолинськ",28424,0.747607655502392,0.160674078243738,"Волинь",0.90828173374613
2006,"Волинська область","Володимир-Волинський район",17205,0.765998256320837,0.137808776518454,"Волинь",0.903807032839291
2006,"Волинська область","Іваничівський район",21260,0.803621825023518,0.111618062088429,"Волинь",0.915239887111947
2006,"Волинська область","Любомльський район",24718,0.717736062788251,0.13233271300267,"Волинь",0.850068775790922
2006,"Волинська область","Старовижівський район",18524,0.709997840639171,0.176635715828115,"Волинь",0.886633556467286
