"rayon","oblast","pop_2006","pop_2007","pop_2012","pop_2014","pop_2019","ua_2006","ua_2007","ua_2012","ua_2014","ua_2019","ru_2006","ru_2007","ru_2012","ru_2014","ru_2019","rayon_en"
"Єланецький район","Миколаївська область",0.113215859030837,0.185450946430781,0.206149848419229,0.148258706467662,0.709752183990016,0.0724669603524229,0.0655697142150192,0.139021221307926,0.51592039800995,0.0638259939383134,0.708370044052864,0.68291475937152,0.625234589288292,0.265505804311774,0.171153503298271,"Yelanets district"
"Ємільчинський район","Житомирська область",0.205132814957976,0.352938283747234,0.351114509204258,0.207248289931597,0.719882327617134,0.213987145489685,0.197393656257684,0.177262835970123,0.654746189847594,0.143646408839779,0.464829879994606,0.380821244160315,0.429277186378874,0.0846033841353654,0.101026045777427,"Emilchinsky district"
"Іваничівський район","Волинська область",0.47107243650047,0.574511059658111,0.392018914710801,0.184628770301624,0.716567914197855,0.340451552210724,0.263806098822602,0.395536589585376,0.753422273781903,0.227930698267457,0.111618062088429,0.124242573525789,0.190704111642927,0.0297563805104408,0.0290257256431411,"Ivanychi district"
"Іванківський район","Київська область, Київ",0.358199592242145,0.50648541489663,0.390164561806353,0.17131757850437,0.696931694674358,0.197187516336453,0.157575757575758,0.210294680443934,0.724700550339916,0.183680294289775,0.336243400073187,0.27000849617672,0.369690011481056,0.0480414373583684,0.0918819496697601,"Ivankiv district"
"Іванівський район","Одеська область",0.162281315605318,0.225093755095386,0.210943838456684,0.166785037878788,0.686631476893246,0.144016794961512,0.110794064894831,0.137113494996845,0.513731060606061,0.0679737153937305,0.551294611616515,0.589189629871189,0.622104029568196,0.254498106060606,0.216417106538834,"Ivanivka district"
"Іванівський район","Херсонська область",0.154410131081982,0.257373737373737,0.241982936157693,0.167215655880643,0.618518518518519,0.0875361030882026,0.102491582491582,0.123271550456016,0.52877349350901,0.107625272331155,0.651188624750056,0.571313131313131,0.603265666372462,0.241619841116063,0.24640522875817,"Ivanivka district"
"Ізмаїльський район","Одеська область",0.0634671641158265,0.147152050715589,0.14016578749058,0.110708611375914,0.476843694940851,0.0554542756603214,0.0330419748343099,0.13894846675555,0.322910708611376,0.0421595771457337,0.701530504091237,0.737873403131303,0.66825111587734,0.44588496981252,0.457211175434181,"Izmail district"
"Ізюмський район","Харківська область",0.0632667789271109,0.0822208469631332,0.14260582737768,0.150372935535429,0.554781676935441,0.0671157084435891,0.132967907346831,0.101814183617372,0.399973361747469,0.0917492633270828,0.777163018202229,0.72743347184157,0.733040131940627,0.333244539158231,0.336190731315296,"Izium district"
"Ізяславський район","Хмельницька область",0.295727498619547,0.474264139312683,0.380350591112923,0.17489567215267,0.729818780889621,0.25096631695196,0.188164586222839,0.267472935634371,0.712383363811131,0.150686436024163,0.314846769740475,0.264871320696563,0.309145264302215,0.053547146809209,0.0653487095002746,"Iziaslav district"
"Іллінецький район","Вінницька область",0.337445109780439,0.538944995882277,0.49089605734767,0.129092860976919,0.671237088047221,0.194211576846307,0.18347709245373,0.154313022700119,0.79495437466452,0.235181997048697,0.353892215568862,0.196697152269082,0.328649940262843,0.0402576489533011,0.065727988194786,"Illintsi district"
"Іршавський район","Закарпатська область",0.233098344863823,0.31926495315878,0.325455938697318,0.11854690191885,0.740076954232483,0.31817584727209,0.34463127552246,0.338360153256705,0.780045149408899,0.126535709464021,0.296742271652509,0.265073264472736,0.297716475095785,0.0505851601021802,0.094775212636695,"Irshava district"
"Ічнянський район","Чернігівська область",0.37514408914315,0.498838807526423,0.58116442580486,0.263074685385442,0.775807185084129,0.170900397045639,0.212616711692497,0.148760330578512,0.636628090811358,0.0989843868425042,0.354651411006276,0.231859329826058,0.232761810780807,0.0519193068993866,0.0679854479308777,"Ichnia district"
"Амвросіївський район","Донецька область",0.0158411276511659,0.0253521126760563,0.0457436612355145,NA,NA,0.0122184165459096,0.0150463758158708,0.0448287880108042,NA,NA,0.921222500329337,0.921367227756784,0.884987366036421,NA,NA,"Amvrosiivka district"
"Ананьївський район","Одеська область",0.0694879498817362,0.12694115970936,0.155134462628003,0.140962924819773,0.714223146830176,0.0834878220290226,0.0723037469725032,0.137333716145086,0.521369721936148,0.0481769407642615,0.71239532059068,0.728807522439094,0.678246722174371,0.25759526261586,0.202671630351473,"Ananyiv district"
"Андрушівський район","Житомирська область",0.237877739331027,0.441495346220722,0.436792508741777,0.184573002754821,0.753893612218795,0.257254901960784,0.167484913572671,0.232146032122326,0.707156127874944,0.146414867203371,0.386989619377163,0.326071392042549,0.286196882593493,0.0646421936062528,0.0719283725829509,"Andrushivka district"
"Антрацитівський район","Луганська область",0.0159985030640408,0.0269193857965451,0.0461774639238563,NA,NA,0.0110399026991627,0.0149232245681382,0.0284310715382254,NA,NA,0.930579594891706,0.93042226487524,0.910469757445502,NA,NA,"Antratsyt district"
"Апостолівський район","Дніпропетровська область",0.108837181264693,0.156049984760744,0.170416716801027,0.16564087534193,0.712401795735129,0.0529869190427392,0.0575366588777134,0.162194681747082,0.422137553731927,0.0589225589225589,0.660106094399904,0.709201124318467,0.636505835639514,0.350771785853849,0.213711185933408,"Apostolove district"
"Арбузинський район","Миколаївська область",0.12849600456621,0.215577889447236,0.185746188950384,0.215649081209247,0.741639009446005,0.0612157534246575,0.052680067001675,0.13253713952811,0.509069353882632,0.0819504723002298,0.691495433789954,0.645812395309883,0.652393436255947,0.199525785417902,0.142966556037784,"Arbuzynka district"
"Арцизький район","Одеська область",0.0368119944762281,0.0710743801652892,0.0961517904863709,0.0612271711995796,0.583989766377163,0.0531860327480765,0.0470639408438452,0.0949225013361839,0.476809880436211,0.0398572678920084,0.736910633260998,0.826794258373206,0.764831640833779,0.37761135199054,0.344374873762876,"Artsyi Raion"
"Балаклійський район","Харківська область",0.0634128334349822,0.0915990244967786,0.0839886322876142,0.103691734869507,0.501153858312522,0.0438320546977819,0.0459178102136643,0.0953839362083713,0.298746004425867,0.0482723737868681,0.799505665585979,0.805427146653078,0.798636978175096,0.528293933752503,0.434324913855784,"Balakliia district"
"Балтський район","Одеська область",0.0721760853419755,0.238715144045602,0.318544600938967,0.181059297639609,0.661923909681411,0.159543582472487,0.139115698659683,0.112206572769953,0.582613701784686,0.155892360037117,0.628181756802377,0.55245724849792,0.52981220657277,0.167242371905584,0.140117537890504,"Balta district"
"Баранівський район","Житомирська область",0.237503038159281,0.404032658216428,0.397240908647753,0.167545371590794,0.736607993899727,0.296807907315888,0.199918805539267,0.195232524129863,0.713728074622326,0.133697655207473,0.348456615085474,0.322838197482972,0.367797601637906,0.0741153807158065,0.101607676177162,"Baranivka district"
"Барвінківський район","Харківська область",0.0828956382735784,0.132450331125828,0.122504047490556,0.140362990727954,0.571043843585048,0.064398264443937,0.118186449312277,0.103769948346311,0.405306766620635,0.0630184207691479,0.762502854532998,0.69969434538971,0.747436589314625,0.381732097060564,0.341484433911451,"Barvinkove district"
"Баришівський район","Київська область, Київ",0.399572276536313,0.543235738295903,0.417298709126526,0.166199551569507,0.717287289369669,0.206442039106145,0.162127929069031,0.278467024963584,0.746860986547085,0.17613202967894,0.281293645251397,0.220441369903054,0.272791199959817,0.0436659192825112,0.0791207267179807,"Baryshivka district"
"Барський район","Вінницька область",0.314205079962371,0.473876391831583,0.439587649704381,0.138740131397339,0.601607571141505,0.228843715489386,0.205021863589235,0.166961443226035,0.762546237508972,0.306281195306929,0.339073172726901,0.245954109002389,0.365556622365961,0.0626069673715011,0.0701367731898619,"Bar district"
"Бахмацький район","Чернігівська область",0.331216968751108,0.424088510906371,0.560239637020396,0.299451708140025,0.744350132625995,0.175930195438584,0.263997165131113,0.163296771067354,0.603711514129059,0.10710875331565,0.359592806725074,0.248405386250886,0.247081626360072,0.0496836777730915,0.0873209549071618,"Bakhmach district"
"Бахмутський район","Донецька область",0.0320665712619918,0.0535373920843144,0.0500202660378054,0.0546011740331492,0.285989392600076,0.0199289765198495,0.019621033748178,0.0460039058181952,0.294112569060773,0.0700846066422528,0.898791540785499,0.880143513846844,0.881296289472715,0.557579419889503,0.625173633034474,"Bakhmut district"
"Бахчисарайський район","АР Крим, Севастополь",0.0605974279667915,0.0694530764449969,0.231821855578161,NA,NA,0.170682077160996,0.178504838852881,0.0755274379197904,NA,NA,0.671434966628683,0.702077599218681,0.65444106908949,NA,NA,"Bakhchysarai district"
"Баштанський район","Миколаївська область",0.123093135287033,0.202336421706854,0.238585165758859,0.132501630789302,0.672817832938679,0.11521477318346,0.10030500086321,0.158563647367359,0.567922374429224,0.0867151139054462,0.629967884383782,0.625942337572653,0.574070338242216,0.236138290932811,0.214664815873275,"Bashtanka district"
"Бердичівський район","Житомирська область",0.272566817952597,0.42092656105395,0.447256133696812,0.180145851126733,0.73527814415393,0.245738779626828,0.173825466819097,0.19361147327249,0.689179423165364,0.134067809760261,0.353706505295008,0.324568566606783,0.317115088301529,0.0785099533539189,0.0947319419660175,"Berdychiv district"
"Бердянський район","Запорізька область",0.0686456400742115,0.0893026404874746,0.129261038663921,0.112729391203029,0.535985394446046,0.0522472918786283,0.0437373053486798,0.0955540303515595,0.37896883192543,0.0563082540597675,0.795499431444132,0.818821936357481,0.736444749485244,0.444412078842606,0.383876237148073,"Berdyansk district"
"Берегівський район","Закарпатська область",0.1098896904462,0.125726959093149,0.142331224722597,0.0785697482945189,0.592514273630789,0.213519599984732,0.36170527353376,0.15130146220056,0.735826864267231,0.0737294706421372,0.290011069124776,0.403449975357319,0.608731722493,0.0937818552497452,0.213857757101572,"Berehove district"
"Бережанський район","Тернопільська область",0.229062851631571,0.416,0.426752632008488,0.132201841844889,0.544729064039409,0.641268820661201,0.522884353741497,0.477270872439403,0.837658878149022,0.358128078817734,0.0516530032684992,0.0363537414965986,0.0781033216355178,0.00882867798158155,0.0172413793103448,"Berezhany district"
"Березанський район","Миколаївська область",0.120150823000508,0.180666125101543,0.188751770180053,0.146906238137416,0.690760233918129,0.0733811906315713,0.063931762794476,0.129880639287882,0.489687460458054,0.0831578947368421,0.703502284098325,0.675385865150284,0.656686222941534,0.295077818549918,0.197777777777778,"Berezanka district"
"Березнегуватський район","Миколаївська область",0.0920331950207469,0.155962432406793,0.202768729641694,0.200539313085439,0.681006251860673,0.0680497925311203,0.0686841855611422,0.139483480688692,0.428186204938972,0.0797856504912176,0.723900414937759,0.707428137747842,0.629944160074453,0.303434572807267,0.217475439118785,"Bereznehuvate district"
"Березнівський район","Рівненська область",0.292866082603254,0.50281939207901,0.400007879599716,0.166659983157557,0.694904818102519,0.415373868498414,0.211003970504821,0.313135292727129,0.738019809921001,0.202421879008672,0.20473266001106,0.222348269994328,0.248207391064534,0.043990856959538,0.0596746882856996,"Berezne district"
"Березівський район","Одеська область",0.0986764291748803,0.138418423297185,0.203831473869642,0.191795324217027,0.658414975507348,0.0678682061391157,0.0657974899476057,0.126761597181445,0.421085134539038,0.0683170048985304,0.709828217403548,0.730717680029243,0.634835584263065,0.322893692104102,0.24868789363191,"Berezivka district"
"Бериславський район","Херсонська область",0.143568403061604,0.245973280059933,0.26419878296146,0.184582655487423,0.680613934530633,0.178234376161106,0.128896657926499,0.158113590263692,0.555374796646227,0.110813909056171,0.5518689158059,0.550380821575727,0.546551724137931,0.204042047303216,0.184116673035282,"Berislav district"
"Бершадський район","Вінницька область",0.279173704040535,0.480616069337081,0.500521772127882,0.153033828530517,0.675555555555556,0.259139924645966,0.238287655188569,0.229548113714701,0.771111508859853,0.232191069574247,0.348889177601663,0.191906769735301,0.236631565632609,0.03887596205477,0.0685773624091381,"Bershad district"
"Благовіщенський район","Кіровоградська область",0.222259180415114,0.422407029656363,0.447893371500134,0.218724647087457,0.75287288235991,0.146021820117084,0.183351639730111,0.202254226675016,0.624046730488398,0.121312640682384,0.443919638105375,0.315079240546054,0.318543698005188,0.0785331818919357,0.0844686648501362,"Blahovishchenske district"
"Близнюківський район","Харківська область",0.106751424813678,0.14417729800458,0.170009737098345,0.186708074534161,0.674834694671334,0.0635686102586585,0.114164213280994,0.133495618305745,0.441366459627329,0.0711785297549592,0.679818792927079,0.689564932940792,0.671275559883155,0.302857142857143,0.232464670037599,"Blyzniuky district"
"Бобринецький район","Кіровоградська область",0.378534125697821,0.428718937151511,0.433023174157303,0.232624505201142,0.753961456102784,0.0762350681313404,0.104839264817237,0.154582162921348,0.633710761299825,0.0983940042826552,0.448766432558977,0.398361671370551,0.372629915730337,0.0832182638313542,0.0916488222698073,"Bobrynets district"
"Бобровицький район","Чернігівська область",0.527485717029142,0.660583554376658,0.503139250545238,0.256149806522941,0.752919341118243,0.165298382063469,0.130822281167109,0.188553301169784,0.638819789939193,0.109349624932333,0.209275529310096,0.15840848806366,0.268521578216906,0.056592039800995,0.0841388910370428,"Bobrovytsia district"
"Богодухівський район","Харківська область",0.147745011180019,0.181375358166189,0.190730733082707,0.210133801272209,0.634457975643841,0.0746740918871029,0.0846704871060172,0.146851503759398,0.385245302332383,0.0631529912823584,0.671433995696747,0.66919770773639,0.629523026315789,0.338963222929005,0.284887203034538,"Bohodukhiv district"
"Богородчанський район","Івано-Франківська область",0.230925660917376,0.472867820210914,0.374915970421588,0.0927903486492727,0.606058087838119,0.656548919183551,0.465291286986792,0.545568039950062,0.876818286769799,0.332987077741306,0.0438603098089428,0.0281304392341558,0.059348890809565,0.00750404063726622,0.0183238459301118,"Bohorodchany district"
"Богуславський район","Київська область, Київ",0.391034075956259,0.482849211856845,0.296345913983462,0.147769314472252,0.737492404294106,0.173782839511775,0.214137008030138,0.14574767866217,0.732263329706202,0.14266423604078,0.288624710740052,0.236789927629622,0.517669884972514,0.073449401523395,0.0924313010600229,"Bohuslav district"
